Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual bruto en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Sexo,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight]
2/25/2011 11:15:36,17 - 23 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,4 a 6 años,,1 a 3 años,4 a 6 años,No conozco,Más de 6 años,4 a 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,,De 2501 a 3500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Linux,Documentación en la web,Menos de 1 año,No conozco,4 a 6 años,,4 a 6 años,Sí,Menos de 1 año,No conozco,No conozco
2/25/2011 11:22:12,24 - 30 años,Lima,No conozco,Menos de 1 año,No conozco,Menos de 1 año,4 a 6 años,,Menos de 1 año,4 a 6 años,No conozco,4 a 6 años,1 año o menos,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,1 a 3 años,,De 1501 a 2500,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, YUI",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",No conozco,No conozco,4 a 6 años,,1 año o menos,Sí,Menos de 1 año,No conozco,No conozco
2/25/2011 11:22:15,24 - 30 años,Junín,No conozco,No conozco,No conozco,Menos de 1 año,4 a 6 años,,Más de 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,No conozco,Más de 6 años,No conozco,1 año o menos,1 año o menos,Más de 6 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Libros, revistas y otras publicaciones impresas",1 a 3 años,Menos de 1 año,4 a 6 años,,Más de 6 años,Sí,1 a 3 años,Menos de 1 año,No conozco
2/25/2011 12:07:48,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,4 a 6 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"jQuery, jQuery UI, MooTools",Masculino,Linux,"Documentación en la web, En la universidad o instituto",Menos de 1 año,No conozco,4 a 6 años,,1 a 3 años,Sí,Menos de 1 año,No conozco,No conozco
2/25/2011 12:30:16,17 - 23 años,Lima,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,Menos de 1 año,Más de 6 años,1 a 3 años,1 a 3 años,4 a 6 años,1 a 3 años,4 a 6 años,1 a 3 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype",Masculino,Linux,"solo, autodidacta",1 a 3 años,No conozco,Más de 6 años,,Más de 6 años,Sí,1 a 3 años,1 a 3 años,No conozco
2/25/2011 12:36:25,31 - 40 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,4 a 6 años,,Más de 6 años,Más de 6 años,No conozco,Más de 6 años,1 a 3 años,4 a 6 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 4501 a 5500,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, Prototype",Masculino,Linux,Documentación en la web,Más de 6 años,No conozco,Más de 6 años,,Más de 6 años,No,No conozco,No conozco,No conozco
2/25/2011 12:38:35,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,No conozco,1 a 3 años,No conozco,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype, YUI",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo",4 a 6 años,No conozco,4 a 6 años,,4 a 6 años,No,No conozco,No conozco,No conozco
2/25/2011 12:39:02,51+ años,Lima,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,1 año o menos,1 año o menos,No conozco,No conozco,No conozco,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,jQuery,Masculino,Windows,Documentación en la web,No conozco,No conozco,No conozco,,No conozco,Sí,No conozco,No conozco,No conozco
2/25/2011 12:41:24,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,1 año o menos,1 año o menos,No conozco,1 a 3 años,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, MooTools, Prototype",Masculino,Linux,"Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,1 a 3 años,Sí,1 a 3 años,No conozco,No conozco
2/25/2011 12:41:44,24 - 30 años,Lima,1 a 3 años,Menos de 1 año,No conozco,4 a 6 años,4 a 6 años,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,1 año o menos,4 a 6 años,1 a 3 años,1 a 3 años,1 año o menos,4 a 6 años,,Más de 10500,Graduado de universidad,Trabajo como independiente,"dojo, jQuery, jQuery UI, Prototype",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",4 a 6 años,4 a 6 años,4 a 6 años,,Más de 6 años,No,4 a 6 años,Menos de 1 año,1 a 3 años
