"Timestamp","Edad","Departamento en el que vives actualmente","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP]","Qué lenguaje servidor prefieres","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados, como Aptana)]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos]","¿Cuál es tu ingreso mensual bruto en soles?","Grado de instrucción","Situación laboral","¿Qué frameworks de JavaScript conoces?","Sexo","¿Qué sistema operativo usas principalmente para desarrollo web?","¿A través de qué medios aprendes sobre desarrollo web?","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript]","¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [BlueGriffon (NUEVO)]","En tu trabajo actual, ¿tu función principal es desarrollo web?","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [node.js (NUEVO)]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Dart (NUEVO)]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos]"
2/23/2012 13:12:50,"17 - 23 años","--Seleccione--","Menos de 1 año","No conozco","No conozco","No conozco","1 a 3 años",,"1 a 3 años","4 a 6 años","Menos de 1 año","4 a 6 años","1 año o menos","No conozco","1 año o menos","No conozco","No conozco","1 año o menos",,"De 1501 a 2500","En universidad o instituto","Trabajo como independiente","jQuery, jQuery UI, YUI","Masculino","Linux","Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","Menos de 1 año","No conozco","1 a 3 años",,"No conozco","Sí","No conozco","No conozco","No conozco","No conozco",,"1 año o menos"
2/23/2012 13:13:18,"24 - 30 años","Lima","1 a 3 años","No conozco","No conozco","4 a 6 años","Menos de 1 año",,"1 a 3 años","1 a 3 años","No conozco","1 a 3 años","1 año o menos","4 a 6 años","1 a 3 años","No conozco","No conozco","1 año o menos",,"De 4501 a 5500","Graduado de universidad","Trabajo como independiente","backbone.js (NUEVO), jQuery, jQuery UI, MooTools, Prototype, script.aculo.us","Masculino","Windows","Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","Menos de 1 año","No conozco","1 a 3 años",,"No conozco","Sí","Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año",,"4 a 6 años"
2/23/2012 13:14:20,"17 - 23 años","Lambayeque","No conozco","No conozco","No conozco","1 a 3 años","1 a 3 años",,"1 a 3 años","1 a 3 años","No conozco","1 a 3 años","1 a 3 años","1 a 3 años","1 a 3 años","1 año o menos","No conozco","1 a 3 años",,"De 1501 a 2500","En universidad o instituto","Trabajo como dependiente e independiente","jQuery, jQuery UI, MooTools","Masculino","Windows","Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","No conozco","No conozco","1 a 3 años",,"No conozco","Sí","No conozco","No conozco","No conozco","Menos de 1 año",,"4 a 6 años"
2/23/2012 13:18:57,"24 - 30 años","Lima","4 a 6 años","1 a 3 años","No conozco","4 a 6 años","1 a 3 años",,"4 a 6 años","Más de 6 años","1 a 3 años","Más de 6 años","1 a 3 años","1 a 3 años","4 a 6 años","No conozco","No conozco","4 a 6 años",,"De 7501 a 8500","Graduado de universidad","Trabajo como independiente","backbone.js (NUEVO), jQuery","Masculino","Mac","Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","1 a 3 años","No conozco","4 a 6 años",,"No conozco","Sí","1 a 3 años","4 a 6 años","Menos de 1 año","1 a 3 años",,"Más de 6 años"
2/23/2012 13:20:08,"17 - 23 años","Ica","Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año",,"Menos de 1 año","Menos de 1 año","Menos de 1 año","1 a 3 años","1 a 3 años","1 año o menos","1 a 3 años","1 año o menos","1 año o menos","1 a 3 años",,"Menos de 1500 soles","En universidad o instituto","Trabajo como independiente","jQuery, jQuery UI, Prototype","Masculino","Windows","Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","Menos de 1 año","Menos de 1 año","Menos de 1 año",,"1 año o menos","Sí","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año",,"4 a 6 años"
2/23/2012 13:21:07,"17 - 23 años","Lima","No conozco","No conozco","No conozco","Más de 6 años","1 a 3 años",,"1 a 3 años","Más de 6 años","4 a 6 años","Más de 6 años","Más de 6 años","4 a 6 años","1 a 3 años","No conozco","No conozco","Más de 6 años",,"Menos de 1500 soles","En universidad o instituto","Trabajo como independiente","jQuery, jQuery UI, jqury mobile","Masculino","Linux","Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","Más de 6 años","1 a 3 años","4 a 6 años",,"1 año o menos","Sí","1 a 3 años","No conozco","No conozco","Menos de 1 año",,"Más de 6 años"
2/23/2012 13:22:25,"17 - 23 años","Lima","Menos de 1 año","No conozco","No conozco","Menos de 1 año","4 a 6 años",,"4 a 6 años","4 a 6 años","Menos de 1 año","Más de 6 años","1 a 3 años","1 a 3 años","4 a 6 años","No conozco","No conozco","1 a 3 años",,"Menos de 1500 soles","En universidad o instituto","Trabajo como independiente","backbone.js (NUEVO), jQuery","Masculino","Linux","Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo","No conozco","No conozco","4 a 6 años",,"No conozco","Sí","No conozco","1 a 3 años","No conozco","No conozco",,"4 a 6 años"
2/23/2012 13:22:28,"24 - 30 años","Lima","No conozco","No conozco","No conozco","1 a 3 años","1 a 3 años",,"No conozco","1 a 3 años","1 a 3 años","1 a 3 años","1 a 3 años","No conozco","1 año o menos","No conozco","No conozco","1 a 3 años",,"De 1501 a 2500","Graduado de instituto","Trabajo como dependiente e independiente","jQuery, MooTools, Prototype","Masculino","Windows","Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea","No conozco","No conozco","1 a 3 años",,"No conozco","Sí","No conozco","No conozco","No conozco","No conozco",,"1 a 3 años"
2/23/2012 13:23:56,"17 - 23 años","Lambayeque","No conozco","1 a 3 años","No conozco","1 a 3 años","1 a 3 años",,"1 a 3 años","1 a 3 años","Menos de 1 año","4 a 6 años","4 a 6 años","1 año o menos","1 año o menos","No conozco","No conozco","1 a 3 años",,"Menos de 1500 soles","En universidad o instituto","Trabajo como dependiente e independiente","jQuery, jQuery UI, Prototype","Masculino","Mac","Seminarios web, Documentación en la web, Cursos en línea, Comunidades locales de desarrolladores (NUEVO)","Menos de 1 año","No conozco","1 a 3 años",,"No conozco","Sí","No conozco","No conozco","No conozco","Menos de 1 año",,"No conozco"
2/23/2012 13:25:04,"24 - 30 años","Lima","Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año","1 a 3 años",,"Menos de 1 año","1 a 3 años","Menos de 1 año","1 a 3 años","1 año o menos","1 año o menos","1 año o menos","No conozco","No conozco","1 año o menos",,"De 1501 a 2500","Graduado de instituto","Trabajo como dependiente e independiente","jQuery, jQuery UI, MooTools","Masculino","Windows","Documentación en la web, En la universidad o instituto","Menos de 1 año","Menos de 1 año","1 a 3 años",,"No conozco","No","No conozco","No conozco","No conozco","No conozco",,"1 a 3 años"
