Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],"¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados, como Aptana)]",¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual bruto en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Sexo,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [BlueGriffon (NUEVO)],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [node.js (NUEVO)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Dart (NUEVO)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos]
41369.0261111111,17 - 23 años,Lambayeque,Menos de 1 año,No conozco,No conozco,1 a 3 años,No conozco,,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,jQuery,Femenino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea",1 a 3 años,No conozco,1 a 3 años,,No conozco,No,No conozco,No conozco,No conozco,No conozco,,1 año o menos
41369.0263541667,24 - 30 años,Cusco,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,1 año o menos,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"backbone.js (NUEVO), jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",Menos de 1 año,No conozco,1 a 3 años,,No conozco,Sí,1 a 3 años,No conozco,No conozco,Menos de 1 año,,Más de 6 años
41369.0266898148,24 - 30 años,Lima,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,"jQuery, MooTools",Masculino,Windows,"Seminarios web, Documentación en la web, Cursos en línea, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,1 a 3 años,,No conozco,Sí,No conozco,No conozco,No conozco,No conozco,,Más de 6 años
41369.0271875,31 - 40 años,Cusco,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,1 a 3 años,Más de 6 años,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,"jQuery, jQuery UI, Prototype, script.aculo.us",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Más de 6 años,,No conozco,Sí,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,Más de 6 años
41369.0276273148,24 - 30 años,Moquegua,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,No conozco,Más de 6 años,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de instituto,Trabajo como independiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto",Más de 6 años,1 a 3 años,Más de 6 años,,No conozco,Sí,Más de 6 años,Más de 6 años,Menos de 1 año,Menos de 1 año,,Más de 6 años
41369.0289699074,24 - 30 años,Lambayeque,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,No conozco,Sí,No conozco,No conozco,No conozco,No conozco,,1 a 3 años
41369.0290162037,24 - 30 años,Lima,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,1 a 3 años,,No conozco,No,Menos de 1 año,No conozco,No conozco,No conozco,,1 a 3 años
41369.0293171296,17 - 23 años,Lambayeque,No conozco,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,1 año o menos,4 a 6 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"dojo, jQuery, jQuery UI, Prototype",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",No conozco,No conozco,1 a 3 años,,No conozco,No,Menos de 1 año,No conozco,No conozco,No conozco,,Más de 6 años
41369.0312268519,24 - 30 años,--Seleccione--,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,1 año o menos,No conozco,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Seminarios web, Documentación en la web, Cursos en línea",No conozco,No conozco,No conozco,,No conozco,Sí,No conozco,No conozco,No conozco,No conozco,,1 año o menos
41369.0312962963,24 - 30 años,Cusco,1 a 3 años,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,4 a 6 años,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de universidad,No trabajo,"jQuery, jQuery UI",Masculino,Windows,"Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,No conozco,Sí,Menos de 1 año,Menos de 1 año,No conozco,No conozco,,Más de 6 años
