Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],"¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados, como Aptana)]",¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Género,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [BlueGriffon (NUEVO)],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [node.js (NUEVO)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Dart (NUEVO)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos],¿Haces desarrollos para plataformas móviles? ¿Para cuáles? (NUEVO)
3/25/2014 22:04:08,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,,,,,,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,"AngularJS (NUEVO), backbone.js, jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",No conozco,No conozco,Menos de 1 año,,,No,Menos de 1 año,No conozco,No conozco,No conozco,,,
3/25/2014 22:06:05,24 - 30 años,Junín,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,,,,,,,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"backbone.js, backbone.js + chaplin.js (NUEVO), dojo, ember.js (NUEVO), jQuery, jQuery UI, Prototype, YUI, zepto.js (NUEVO)",Masculino,Linux,Documentación en la web,4 a 6 años,4 a 6 años,4 a 6 años,,,Sí,1 a 3 años,Menos de 1 año,4 a 6 años,1 a 3 años,,,"Android, Blackberry, Firefox OS, iOS, Webapps móviles (en general), Windows Phone"
3/25/2014 22:06:31,17 - 23 años,Tacna,No conozco,No conozco,No conozco,No conozco,4 a 6 años,,1 a 3 años,4 a 6 años,4 a 6 años,4 a 6 años,,,,,,,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,"AngularJS (NUEVO), backbone.js, backbone.marionette.js (NUEVO), jQuery, jQuery UI",Masculino,Mac,Documentación en la web,No conozco,No conozco,4 a 6 años,,,Sí,No conozco,No conozco,No conozco,Menos de 1 año,,,"Android, Webapps móviles (en general)"
3/25/2014 22:12:25,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,,No conozco,Menos de 1 año,Menos de 1 año,No conozco,,,,,,,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,Menos de 1 año,,,No,No conozco,No conozco,No conozco,No conozco,,,
3/25/2014 22:12:43,24 - 30 años,Cusco,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,,,,,,,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,"AngularJS (NUEVO), backbone.js, jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,1 a 3 años,,,Sí,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,,
3/25/2014 22:19:38,17 - 23 años,Lambayeque,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,,,,,,,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea",No conozco,No conozco,Menos de 1 año,,,Sí,No conozco,No conozco,No conozco,No conozco,,,Android
3/25/2014 22:31:00,24 - 30 años,Lima,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,,,,,,,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,"AngularJS (NUEVO), backbone.js, backbone.marionette.js (NUEVO), jQuery, jQuery UI, MooTools",Masculino,Mac,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",No conozco,No conozco,1 a 3 años,,,Sí,No conozco,1 a 3 años,No conozco,Menos de 1 año,,,
3/25/2014 22:33:36,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,,,,,,,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,"AngularJS (NUEVO), backbone.js, jQuery, jQuery UI, zepto.js (NUEVO)",Masculino,Mac,"Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",Menos de 1 año,Menos de 1 año,1 a 3 años,,,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,,"Firefox OS, Webapps móviles (en general)"
3/25/2014 22:37:14,24 - 30 años,Lima,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Más de 6 años,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,,,,,,,,De 1501 a 2500,Graduado de instituto,Trabajo como dependiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",No conozco,No conozco,Más de 6 años,,,No,No conozco,No conozco,No conozco,Menos de 1 año,,,
3/25/2014 22:42:39,24 - 30 años,Lima,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,Más de 6 años,Más de 6 años,No conozco,Más de 6 años,,,,,,,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas",Menos de 1 año,No conozco,Más de 6 años,,,Sí,Más de 6 años,No conozco,No conozco,No conozco,,,"Android, iOS, Windows Phone"
