,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Región en la que vives actualmente,Grado de instrucción,Edad,Género,Situación laboral,"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?,¿Qué sistema operativo usas principalmente para desarrollo web?,Other,ASP.NET,Java,node.js / io.js,PHP,Python,Ruby,Play Framework (Java),Laravel (PHP),Symfony2 (PHP),Zend Framework (PHP),Bottle (Python),Django (Python),Flask (Python),webpy (Python),Cuba (Ruby),Ruby on Rails,Sinatra (Ruby),AJAX,CSS,Flash/ActionScript,HTML,JavaScript,AngularJS,backbone.js,backbone.js + chaplin.js,backbone.marionette.js,backbone.js + Thorax,D3.js,dojo,ember.js,jQuery,jQuery UI,React,Zepto.js,Other,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,Other,¿Haces desarrollos para plataformas móviles? ¿Para cuáles?,Start Date (UTC),Submit Date (UTC),Network ID
eaefa349e3a1d5b21f15b702d0e6efe3,La Libertad,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,Menos de 1500 nuevos soles,Mac,,No conozco,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,Menos de 1 año,,,,,,Django (Python),,,,Ruby on Rails,,1 a 3 años,4 a 6 años,No conozco,4 a 6 años,4 a 6 años,,backbone.js,,backbone.marionette.js,,,,,jQuery,jQuery UI,,,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,,"Cursos en línea, en plataformas de pago",,,,Webapps móviles (en general),2015-03-24 23:39:16,2015-03-24 23:42:15,216ef407eb
865f86fc6fa58a113c6dc71bd90a9c41,La Libertad,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como dependiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,No conozco,Menos de 1 año,No conozco,1 a 3 años,Menos de 1 año,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,,,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,2015-03-25 03:24:24,2015-03-25 03:29:38,648afb126b
bbca113f2eaf881072f3efc7869af2d2,Arequipa,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,Menos de 1500 nuevos soles,Linux,,No conozco,No conozco,Menos de 1 año,4 a 6 años,1 a 3 años,No conozco,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),,,,,,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,4 a 6 años,AngularJS,backbone.js,,,,,,,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,Android,2015-03-25 03:26:38,2015-03-25 03:30:26,722ff29998
416a2dfe4cfe923d3b1781428eafdd83,Lima,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como dependiente,1,De 1501 a 2500,Linux,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,1 a 3 años,Menos de 1 año,,,,,,Django (Python),,,,,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,,,,,,Firefox OS,2015-03-25 03:23:54,2015-03-25 03:35:06,a2cf56b24d
d6b779319c8da4762ab9f7cb9b8351ed,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 5501 a más,Mac,,No conozco,No conozco,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,,,,,,Django (Python),Flask (Python),,,Ruby on Rails,Sinatra (Ruby),Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,AngularJS,backbone.js,,backbone.marionette.js,,,,ember.js,jQuery,jQuery UI,,,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,,,,,,iOS,2015-03-25 03:33:36,2015-03-25 03:35:34,266a0bc74f
acaf5a959607cbee656617f08ff72bdb,Lima,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como dependiente,1,De 3501 a 4500,Linux,,No conozco,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,Menos de 1 año,,,,,Bottle (Python),Django (Python),Flask (Python),,,,,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,4 a 6 años,AngularJS,,,,,,,,jQuery,,,,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,2015-03-25 03:33:10,2015-03-25 03:36:20,304894572b
9d3e148cb66048c012c528cde773b8a4,Lima,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como dependiente e independiente,1,De 2501 a 3500,Linux,,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,Play Framework (Java),Laravel (PHP),,,,Django (Python),,,,Ruby on Rails,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,AngularJS,backbone.js,,,,,dojo,,jQuery,jQuery UI,React,,,,,,Documentación en la web,,,,,,,Android,2015-03-25 03:53:24,2015-03-25 03:56:48,0452b4ca70
4ccc28ab3622e8f1897ca12db0dec961,Callao,Graduado de instituto,24 - 30 años,Masculino,Trabajo como independiente,1,De 2501 a 3500,Mac,,No conozco,No conozco,No conozco,1 a 3 años,Menos de 1 año,1 a 3 años,,,,,,,,,,Ruby on Rails,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,,,,,,,,Documentación en la web,,,"Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,,,2015-03-25 03:52:16,2015-03-25 03:57:00,10bd3ceda8
037a47b19a7198abb616fea6b165ba86,Lima,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 5501 a más,Mac,,No conozco,No conozco,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,,,Symfony2 (PHP),,,,,,,Ruby on Rails,,1 a 3 años,4 a 6 años,Menos de 1 año,4 a 6 años,4 a 6 años,AngularJS,backbone.js,,,,,dojo,ember.js,jQuery,jQuery UI,,Zepto.js,,,Cursos de educación continua (fuera de los planes de estudio superiores),,,,,"Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,,,Android,2015-03-25 04:07:20,2015-03-25 04:10:49,14a7a4f442
dc5ee57c367b16f9f6a0b47a5635a9bb,Lima,Graduado de universidad,17 - 23 años,Masculino,Trabajo como dependiente,0,De 2501 a 3500,Linux,,1 a 3 años,Menos de 1 año,Menos de 1 año,1 a 3 años,Menos de 1 año,No conozco,Play Framework (Java),Laravel (PHP),,,,,,,,,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,,,,,,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,Android,2015-03-25 04:14:31,2015-03-25 04:18:00,c5d8e3b612
