#,"Región en la que vives actualmente","¿Cuántos años de experiencia tienes en Desarrollo Web?","Grado de instrucción",Edad,Género,"Situación laboral","Si eres trabajador dependiente, ¿estás en planilla?","Si eres trabajador independiente, ¿emites recibos por honorarios u otro comprobante de pago?","En tu trabajo actual, ¿tu función principal es desarrollo web?","¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?","Si comparas tu sueldo bruto actual respecto de tu sueldo de hace doce meses atrás, dirías que:","¿Qué sistema operativo usas principalmente para desarrollo web?",Other,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory",.NET,Go,Java,"node.js / io.js",PHP,Python,Ruby,"Play Framework (Java)","CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)","Zend Framework (PHP)","Bottle (Python)","Django (Python)","Flask (Python)","webpy (Python)","Cuba (Ruby)","Ruby on Rails","Sinatra (Ruby)",AngularJS,backbone.js,D3.js,dojo,ember.js,jQuery,"jQuery UI",React,Zepto.js,Other,CoffeeScript,Jade,LESS,PostCSS,SASS,Stylus,Other,Broccoli,Grunt,Gulp,Other,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,Other,CouchDB,"Apache Cassandra",MongoDB,Redis,Other,"Amazon Web Services","Google Cloud Platform","Microsoft Azure","Una nube privada (implementación a medida)",Other,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",Other,Android,iOS,"Webapps móviles (web móvil o app para Android/iOS)",Other,"Si desarrollas web/apps móviles ¿Qué frameworks has utilizado para desarrollar web/apps móviles?",Other,"Start Date (UTC)","Submit Date (UTC)","Network ID"
811553808ad13e8f715463e5e5a3245b,Lima,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente",Si,,1,"De 2501 a 3500","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",Consola,,"Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"1 a 3 años","No conozco","No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco",,,,,,,,,,,,,AngularJS,,,,,jQuery,"jQuery UI",,,,,,,,,,,,,,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,,,,,,"Microsoft Azure",,,,"Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web",,,,,,,,,,,,,"2016-04-21 03:19:41","2016-04-21 03:24:24",36927dfbc0
25d51a87a1305b7d45a0f26f11c9be26,Arequipa,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como independiente",,No,0,"De 1501 a 2500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",,,"Depurador de JavaScript / Debugger",,,,,"No conozco","No conozco","1 a 3 años","Menos de 1 año","4 a 6 años","1 a 3 años","No conozco",,,,"Symfony2 (PHP)",,,"Django (Python)",,,,,,AngularJS,,,,,,,,,,,,,,,,,,,,,,"MySQL (y derivados)",,PostgreSQL,,,,MongoDB,,,,"Google Cloud Platform",,,,,,,"Documentación en la web",,,,,,,Android,,,,,,"2016-04-21 03:22:48","2016-04-21 03:27:06",a5c584bfd1
8d359f023ff764df436884bac3dad03c,Lima,"Cuatro a seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente",Si,Si,1,"De 2501 a 3500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","1 a 3 años","No conozco","4 a 6 años","No conozco","No conozco",,"CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)",,,,,,,,,,backbone.js,D3.js,,,jQuery,"jQuery UI",,,"jquery mobile",,,LESS,,,,,,,Gulp,,"Microsoft SQL Server","MySQL (y derivados)",,,,,,,,,,,,,,,,,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,"Comunidades locales de desarrolladores",,Android,,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-21 03:23:43","2016-04-21 03:29:49",a92f7866b8
5e6b6a55f0e64749a77485303caad7e1,Lima,"Uno a tres años","Graduado de instituto","24 - 30 años",Masculino,"Trabajo como dependiente",No,,1,"De 1501 a 2500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,,"Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory","Menos de 1 año","No conozco","Menos de 1 año","No conozco","1 a 3 años","1 a 3 años","No conozco",,"CodeIgniter (PHP)","Laravel (PHP)",,,,"Django (Python)","Flask (Python)",,,,,AngularJS,,D3.js,,,jQuery,"jQuery UI",,,,,,,,SASS,,,,,,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,,Redis,,,,,,,,"Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas","Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,"En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",,,,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-21 03:23:15","2016-04-21 03:30:27",3ca7ed54fb
e0f54b8a51e3ff3af990abe6e9c70ab3,Lima,"Cuatro a seis años","Graduado de universidad","24 - 30 años",Femenino,"Trabajo como dependiente e independiente",Si,Si,1,"De 4501 a 5500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources",,"Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","Menos de 1 año","No conozco","4 a 6 años","No conozco","No conozco",,"CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)","Zend Framework (PHP)",,,,,,,,,,,,,jQuery,,,,,CoffeeScript,,,,,,,,,Gulp,,,"MySQL (y derivados)",,PostgreSQL,,,,MongoDB,Redis,,"Amazon Web Services",,,"Una nube privada (implementación a medida)",,,"Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web",,,"Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo",,,,,"Webapps móviles (web móvil o app para Android/iOS)",,Phonegap,,"2016-04-21 03:28:31","2016-04-21 03:33:34",5e845c69e6
d2a95db9635ccffcab650015d612fb61,Lambayeque,"Uno a tres años","Graduado de universidad","24 - 30 años",Femenino,"Trabajo como dependiente e independiente",Si,No,1,"De 1501 a 2500","Ha aumentado",Windows,,,,,,"Rendimiento / Timeline / Performance",,,,"1 a 3 años","No conozco","Menos de 1 año","No conozco","1 a 3 años","No conozco","No conozco",,,,,,,,,,,,,,,,,,jQuery,,,,,,,,,,,,,,,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,MongoDB,,,,,"Microsoft Azure",,,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas","Documentación en la web",,,,"En grupos de amigos o compañeros de trabajo",,,,,,,,,"2016-04-21 03:21:09","2016-04-21 03:34:44",910840a9e7
ff4f2377d488b7c9f957b82b40bf3d38,Ica,"Uno a tres años","Estudiante en universidad","17 - 23 años",Femenino,"Trabajo como dependiente",Si,Si,1,"De 1501 a 2500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"No conozco","No conozco","No conozco","No conozco","No conozco","No conozco","1 a 3 años","Play Framework (Java)","CodeIgniter (PHP)","Laravel (PHP)",,,"Bottle (Python)","Django (Python)",,,"Cuba (Ruby)","Ruby on Rails","Sinatra (Ruby)",AngularJS,backbone.js,,,ember.js,jQuery,"jQuery UI",React,,,,,,,SASS,,,,,,,,"MySQL (y derivados)",,PostgreSQL,SQLite,,,MongoDB,,,,,,,Heroku,,,,"Documentación en la web",,,,,"Comunidades locales de desarrolladores",,,,,,,,"2016-04-21 03:28:53","2016-04-21 03:40:41",f1e358481a
b490c3294ee563361871b775be1e65b1,Lima,"Uno a tres años","Estudiante en universidad","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,1,"De 3501 a 4500","Ha aumentado",Mac,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory","Menos de 1 año","No conozco","Menos de 1 año","No conozco","1 a 3 años","1 a 3 años","Menos de 1 año",,,"Laravel (PHP)","Symfony2 (PHP)",,,"Django (Python)",,,,"Ruby on Rails",,AngularJS,,,,,jQuery,"jQuery UI",,,,,Jade,,,,Stylus,,,,,,"Microsoft SQL Server","MySQL (y derivados)",,,,,,MongoDB,Redis,,"Amazon Web Services","Google Cloud Platform",,,,,,,"Documentación en la web",,,,,,,Android,iOS,,,,,"2016-04-21 03:37:23","2016-04-21 03:41:36",3287cb8082
8a52c0e6036d600940334a1b45a26e06,Lima,"Uno a tres años","Graduado de instituto","17 - 23 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,1,"De 2501 a 3500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory","1 a 3 años","1 a 3 años","Menos de 1 año","1 a 3 años","4 a 6 años","1 a 3 años","1 a 3 años",,,"Laravel (PHP)",,,,"Django (Python)","Flask (Python)",,,"Ruby on Rails",,AngularJS,backbone.js,D3.js,,,jQuery,"jQuery UI",React,,,CoffeeScript,Jade,LESS,,SASS,Stylus,,,Grunt,Gulp,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,MongoDB,Redis,,"Amazon Web Services",,,,,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web",,,"Cursos en línea, en plataformas de pago",,,,Android,,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-21 03:41:03","2016-04-21 03:44:59",fc9444b310
befb0e7467b56be69b2a5b7db4582701,Lima,"Uno a tres años","Estudiante en universidad","17 - 23 años",Femenino,"Trabajo como dependiente e independiente",No,No,1,"De 1501 a 2500","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","1 a 3 años","Menos de 1 año","Menos de 1 año",,"CodeIgniter (PHP)",,,,,,,,,,,AngularJS,backbone.js,,,ember.js,jQuery,"jQuery UI",,,,,,LESS,,,,,,,,,,"MySQL (y derivados)","Oracle Database",,,,,,,,,"Google Cloud Platform",,,,,"Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web","Seminarios web",,,"En grupos de amigos o compañeros de trabajo",,,Android,,,,"Ionic Framework",,"2016-04-21 03:39:31","2016-04-21 03:45:16",72671162a3
