Marca temporal,¿En qué departamento vives actualmente?,Qué edad tienes,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",¿Qué sistema operativo usas principalmente para desarrollo web?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Qué frameworks backend cononces?,¿Qué frameworks de JavaScript conoces?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?
2017/12/28 7:26:30 a. m. GMT-5,Lima,24 - 30 años,Prefiero no decirlo,Graduado de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Ha disminuido,GNU/Linux,Rendimiento / Timeline / Performance,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Flask (Python),jQuery;Vue.js,SASS;LESS;Stylus;Pug;CoffeeScript;PostCSS,Grunt;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;Redis;Apache Cassandra;CouchDB;Apache Hive,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure;IBM Cloud;Ali cloud,Documentación en la web;En la universidad o instituto,,
2017/12/28 7:38:48 a. m. GMT-5,Junín,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python),jQuery;jQuery UI;AngularJS;Backbone.js;React;D3.js;Vue.js,SASS;LESS,Gulp,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database;Sql AnyWhere,MongoDB,Amazon Web Services;Google Cloud Platform;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma),Phonegap
2017/12/28 7:48:19 a. m. GMT-5,San Martín,24 - 30 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente,,,Sí,,No,Menos de 1500 soles,Ha disminuido,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,Play Framework (Java),Framework7,Stylus,WebPack,Microsoft SQL Server,Apache Cassandra,Una nube privada (implementación a medida),En la universidad o instituto,Android,Ionic Framework
2017/12/28 7:56:09 a. m. GMT-5,Junín,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP),Vue.js,LESS,WebPack,MySQL;Microsoft SQL Server;Oracle Database,,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups",,
2017/12/28 8:18:52 a. m. GMT-5,Tacna,24 - 30 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como independiente,,,,Sí,Sí,Menos de 1500 soles,Ha disminuido,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,De 4 a 6 años,Más de 6 años,De 1 a 3 años,De 4 a 6 años,Laravel (PHP);CodeIgniter (PHP);Ruby on Rails;Sinatra (Ruby),jQuery;jQuery UI;AngularJS;React;D3.js;Zepto.js;Vue.js;Riot.js,SASS;LESS;CoffeeScript;ES6,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;MariaDB,MongoDB;Redis,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups",Android;Webapps móviles (híbridas para cualquier plataforma),Apache Cordova;Phonegap
2017/12/28 8:31:30 a. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,,jQuery,SASS;LESS;Stylus,Gulp,MySQL;Microsoft SQL Server;Oracle Database,,,"Documentación en la web;Libros, revistas y otras publicaciones impresas",,
2017/12/28 8:39:34 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,No,,,No,De 5501 a más,Es igual,Mac,Inspector / Elements / DOM Explorer;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Ruby on Rails,jQuery;jQuery UI;AngularJS,SASS;LESS;Stylus;CoffeeScript,Grunt;Gulp,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Ionic Framework;Reac Native
2017/12/28 8:53:51 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 5501 a más,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python);Zend Framework;Symfony (PHP),jQuery;jQuery UI;AngularJS;Vue.js,SASS;LESS;Stylus;Pug;CoffeeScript,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;CouchDB,Amazon Web Services;Microsoft Azure;IBM Cloud,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",,
2017/12/28 9:00:56 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 1501 a 2500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python);Zend Framework;Symfony (PHP);Spring Boot (Java),jQuery;jQuery UI;AngularJS;Dojo;Vue.js,,WebPack,MySQL,SOLR,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Comunidades locales de desarrollo",Android,
2017/12/28 9:22:38 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,No,,Sí,De 5501 a más,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,De 4 a 6 años,No conozco,Django (Python);Flask (Python),jQuery;jQuery UI;AngularJS;Backbone.js;Kendo,SASS;LESS;CoffeeScript,Gulp,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB;Redis,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo;Seminarios Web / Webinars",,
