"Marca temporal","¿En qué región vives actualmente?","¿Qué edad tienes?","¿Cuál es tu sexo?","¿Cuál es tu grado de instrucción?","¿Cuántos años de experiencia tienes en Desarrollo Web?","¿Cuál es tu situación laboral actual como desarrollador web? ","¿Estás en planilla?","¿Emites recibos por honorarios u otro comprobante de pago?","¿Estás en planilla?","¿Emites recibos por honorarios u otro comprobante de pago?","En tu trabajo actual ¿Tu función principal es desarrollo web?","¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?","Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:","Tu función principal en el desarrollo web es:","¿Qué sistema operativo usas principalmente como entorno de desarrollo?","¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?","¿Cuantos años de experiencia tienes con...? [.NET]","¿Cuantos años de experiencia tienes con...? [Go]","¿Cuantos años de experiencia tienes con...? [Java]","¿Cuantos años de experiencia tienes con...? [Node.js]","¿Cuantos años de experiencia tienes con...? [PHP]","¿Cuantos años de experiencia tienes con...? [Python]","¿Cuantos años de experiencia tienes con...? [Ruby]","¿Cuantos años de experiencia tienes con...? [Rust]","¿Qué frameworks backend cononces?","¿Qué frameworks backend utilizas?","¿Qué frameworks de JavaScript conoces?","¿Qué frameworks de JavaScript utilizas?","¿Con qué pre/post procesadores has trabajado?","¿Con qué herramientas de automatizacion has trabajado?","¿Con qué bases de datos relacionales has trabajado?","¿Con qué bases de datos no relacionales has trabajado?","¿Con qué plataformas Cloud has trabajado?","¿A través de qué medios aprendes sobre desarrollo web?","¿Para qué sistemas operativos móviles has desarrollado aplicaciones?","Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?"
"2019/01/17 9:11:48 p. m. GMT-5","Lima","17 - 23 años","Hombre","Escolar","De 1 a 3 años","Trabajo como dependiente","","","Sí","","Sí","De 3501 a 4500 soles","Ha aumentado","Fullstack","Mac","Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources;Canvas","No conozco","No conozco","Menos de 1 año","De 1 a 3 años","Menos de 1 año","Menos de 1 año","De 1 a 3 años","No conozco","Ruby on Rails;Spring Boot (Java)","Ruby on Rails;Spring Boot (Java)","jQuery;React;D3.js;Vue.js","jQuery;React;D3.js;Vue.js","SASS;LESS;Pug;PostCSS","Grunt;Gulp;WebPack","MySQL","MongoDB","Firebase","Cursos en línea de plataformas de pago","Webapps móviles (híbridas para cualquier plataforma)","Reac Native"
"2019/01/17 9:13:31 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente","","","No","","Sí","De 3501 a 4500 soles","Ha aumentado","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage;Editor de sombreadores","No conozco","No conozco","Menos de 1 año","Menos de 1 año","De 1 a 3 años","Menos de 1 año","Menos de 1 año","No conozco","Laravel (PHP);CodeIgniter (PHP);Symfony (PHP)","Laravel (PHP);CodeIgniter (PHP)","jQuery;AngularJS;React;Vue.js","jQuery","SASS;LESS;Stylus;Pug","Grunt;WebPack","MySQL","","","","",""
"2019/01/17 9:13:32 p. m. GMT-5","Lima","17 - 23 años","Hombre","Estudiante de universidad","De 1 a 3 años","Trabajo como dependiente","","","No","","Sí","De 1501 a 2500 soles","Es igual","Backend","GNU/Linux","Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","No conozco","No conozco","Menos de 1 año","De 1 a 3 años","No conozco","No conozco","No conozco","No conozco","Express","Express","jQuery;React;Vue.js","React;Vue.js","SASS;Pug","Gulp;WebPack","MySQL;PostgreSQL","MongoDB","Amazon Web Services","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas","",""
"2019/01/17 9:17:32 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 6 a 10 años","Trabajo como dependiente","","","Sí","","Sí","De 4501 a 5500 soles","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger","Más de 6 años","No conozco","De 1 a 3 años","De 1 a 3 años","No conozco","Menos de 1 año","Menos de 1 año","No conozco","Django (Python);Ruby on Rails;Spring Boot (Java)","Hibernate","jQuery;jQuery UI;AngularJS;React;Vue.js;Kendo","jQuery;jQuery UI;AngularJS","Pug","WebPack","MySQL;Microsoft SQL Server;Oracle Database","MongoDB;Firebase","Microsoft Azure","Documentación en la web;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars","Android;iOS","Kotlin"
"2019/01/17 9:22:55 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de instituto","De 4 a 6 años","Trabajo como dependiente e independiente","Sí","Sí","","","No","De 1501 a 2500 soles","Ha aumentado","Frontend","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","Menos de 1 año","No conozco","De 1 a 3 años","Menos de 1 año","No conozco","No conozco","Laravel (PHP);Django (Python);Zend Framework;Symfony (PHP)","Django (Python);Symfony (PHP)","jQuery;jQuery UI;AngularJS;React;Vue.js","jQuery;jQuery UI","SASS;LESS","WebPack","MySQL;Microsoft SQL Server","MongoDB","Amazon Web Services","Documentación en la web;Cursos en línea de plataformas de pago;Seminarios Web / Webinars","Android","Ionic Framework"
"2019/01/17 9:23:12 p. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente","","","Sí","","Sí","De 4501 a 5500 soles","Ha aumentado","Frontend","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","No conozco","Menos de 1 año","Menos de 1 año","No conozco","No conozco","No conozco","","","jQuery;jQuery UI;AngularJS;Vue.js","jQuery;AngularJS;Vue.js","SASS;Pug;CoffeeScript;PostCSS","Gulp;WebPack","MySQL","","","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas","",""
"2019/01/17 9:48:54 p. m. GMT-5","Lima","24 - 30 años","Hombre","Maestría","De 4 a 6 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 5501 a más","Ha aumentado","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance","De 1 a 3 años","No conozco","No conozco","De 1 a 3 años","De 1 a 3 años","Menos de 1 año","No conozco","No conozco","Laravel (PHP);Django (Python)","Laravel (PHP)","jQuery;jQuery UI;AngularJS;Backbone.js;React;Zepto.js;Vue.js","jQuery;React","SASS;Stylus;PostCSS","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB","Amazon Web Services;Microsoft Azure","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior)","Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework;Apache Cordova"
"2019/01/17 10:40:14 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente","","","Sí","","Sí","De 3501 a 4500 soles","Ha aumentado","Backend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","De 1 a 3 años","Menos de 1 año","Menos de 1 año","Menos de 1 año","De 1 a 3 años","No conozco","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Play Framework (Java);Spring Boot (Java);Flask (Python);Sinatra (Ruby)","Symfony (PHP)","jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;D3.js;Dojo;Vue.js;Sencha;Kendo","jQuery;jQuery UI;AngularJS","SASS","Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB;Redis","Amazon Web Services;Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago","Android;Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework;Phonegap;Progressive Web Apps"
"2019/01/17 11:15:29 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 5501 a más","Ha aumentado","Backend","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage","No conozco","Menos de 1 año","No conozco","Menos de 1 año","De 4 a 6 años","De 4 a 6 años","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Zend Framework;Symfony (PHP);Play Framework (Java);Flask (Python);lumen","Laravel (PHP);CodeIgniter (PHP);Django (Python);Zend Framework;Symfony (PHP);lumen","jQuery;jQuery UI;AngularJS;React;D3.js;Vue.js","jQuery;React","SASS;LESS;Stylus","Grunt;Gulp;WebPack","MySQL;PostgreSQL","MongoDB;Redis;dynamodb","Amazon Web Services;Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Webapps móviles (híbridas para cualquier plataforma);iOS","Reac Native"
"2019/01/17 11:44:13 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de instituto","De 1 a 3 años","Trabajo como dependiente","","","No","","Sí","Menos de 1500 soles","Es igual","Fullstack","Microsoft Windows","Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","No conozco","No conozco","No conozco","Menos de 1 año","De 1 a 3 años","No conozco","No conozco","No conozco","Laravel (PHP)","Laravel (PHP)","jQuery;Vue.js","jQuery;Vue.js","SASS","WebPack","MySQL","MongoDB","Google Cloud Platform","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars","Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework"
