¿En qué región vives actualmente?,¿Qué edad tienes?,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual como desarrollador web? ,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",Tu función principal en el desarrollo web es:,¿Qué sistema operativo usas principalmente como entorno de desarrollo?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Qué editor utilizas regularmente?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Cuantos años de experiencia tienes con...? [Rust],¿Cuantos años de experiencia tienes con...? [Lisp],¿Cuantos años de experiencia tienes con...? [Scala],¿Cuantos años de experiencia tienes con...? [Swift],¿Cuantos años de experiencia tienes con...? [Kotlin],¿Cuantos años de experiencia tienes con...? [JavaScript],¿Cuantos años de experiencia tienes con...? [TypeScript],¿Cuantos años de experiencia tienes con...? [Flow],¿Qué frameworks backend cononces?,¿Qué frameworks backend utilizas?,¿Qué frameworks de JavaScript conoces?,¿Qué frameworks de JavaScript utilizas?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?,¿Sueles utilizar test en tus proyectos?,¿Contribuyes con algún proyecto open source o software libre?,¿Haz asistido a algún evento o meetup local?,Indica el nombre de la comunidad o del meetup al que asististe,En los últimos 12 meses ¿Has asistido ha alguna conferencia internacional fuera del Perú?
Lima,24 - 30 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,No,,,Sí,De 2501 a 3500 soles,Ha aumentado,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Borrador","Visual Studio Code, PhpStorm, CLion (Rust)",No conozco,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Zend Framework, Symfony (PHP)",Symfony (PHP),"jQuery, jQuery UI, Backbone.js, D3.js, Vue.js","jQuery, React, Vue.js","SASS, LESS",WebPack,"MySQL, Microsoft SQL Server",MongoDB,"Microsoft Azure, Digital Ocean","Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),"Apache Cordova, Phonegap",A veces,"Trabajo full-time haciendo open source, pero no recibo algún pago por ello","Sí, al menos una vez al mes",Mozilla Perú,No
Lambayeque,24 - 30 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 1501 a 2500 soles,Ha aumentado,Backend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage","Visual Studio Code, Vim, GEdit, vi, nano",De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Más de 6 años,Menos de 1 año,Más de 6 años,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,No conozco,"Django (Python), Flask (Python), Express (Node.js)","Flask (Python), Express (Node.js)","AngularJS, React, D3.js, Vue.js","React, Vue.js, VanillaJS","LESS, Pug",,"MySQL, PostgreSQL","MongoDB, Redis","Una nube privada (implementación a medida), Google Cloud Platform, IBM Cloud","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Libros, revistas y otras publicaciones impresas","Android, Webapps móviles (híbridas para cualquier plataforma)","React Native, Flutter",Sí,"Sí, regularmente (al menos una vez al mes)","Sí, de vez en cuando",FP,No
Lima,31 - 40 años,Mujer,Graduado de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,Express (Node.js),,React,React,SASS,,,Firebase,Google Cloud Platform,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups",,,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando","Lima Js, Meetups en Laboratoria",No
Junín,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,No trabajo actualmente,,,,,,,Es igual,Fullstack,GNU/Linux,Consola,"Visual Studio Code, Vim, PhpStorm",No conozco,Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), Express (Node.js)","Laravel (PHP), Express (Node.js)","AngularJS, React, Vue.js","React, Vue.js","SASS, Stylus, PostCSS",WebPack,"MySQL, PostgreSQL",MongoDB,"Heroku, Zeit","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",,Progressive Web Apps,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,No,,,No,De 5501 a más,Es igual,Backend,Microsoft Windows,"Consola, Inspector de memoria / Profiles / Memory","Visual Studio Code, Notepad++, IntelliJ, Eclipse",Menos de 1 año,De 1 a 3 años,Más de 6 años,De 1 a 3 años,No conozco,De 1 a 3 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Más de 6 años,De 1 a 3 años,No conozco,"Django (Python), Spring Boot (Java), Express (Node.js)","Spring Boot (Java), Micronaut (Java/Groovy) ",jQuery,jQuery,,,"MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",MongoDB,"Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Microsoft Azure","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups",,,A veces,He hecho alguna contribución alguna vez,"Sí, al menos una vez al mes","PERUJUG, LIMAJS, MOZILLA PERU",No
Piura,24 - 30 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como independiente,,,,Sí,Sí,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory","Visual Studio Code, Sublime, Notepad++, NetBeans, PhpStorm",Más de 6 años,No conozco,De 1 a 3 años,De 1 a 3 años,Más de 6 años,Más de 6 años,Menos de 1 año,No conozco,No conozco,No conozco,Más de 6 años,Menos de 1 año,Más de 6 años,Más de 6 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Spring Boot (Java), Flask (Python), Express (Node.js)","CodeIgniter (PHP), Django (Python), Ruby on Rails","jQuery, jQuery UI, AngularJS, Backbone.js, React, D3.js, Vue.js","jQuery, jQuery UI, AngularJS, React","SASS, LESS",Gulp,"MySQL, Microsoft SQL Server, PostgreSQL",MongoDB,"Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Microsoft Azure, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo, Seminarios Web / Webinars","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Apache Cordova, Phonegap, React Native, Xamarin, Unity",Sí,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",gdg piura,No
Ica,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,Backend,GNU/Linux,Consola,Visual Studio Code,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,"Laravel (PHP), Django (Python)",Laravel (PHP),jQuery,React,SASS,WebPack,MySQL,MongoDB,Una nube privada (implementación a medida),"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Arequipa,24 - 30 años,Mujer,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,No,,,Sí,De 5501 a más,Ha aumentado,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,Ruby on Rails,Ruby on Rails,"jQuery, React, D3.js","React, D3.js",SASS,WebPack,PostgreSQL,Redis,"Amazon Web Services, Heroku",Documentación en la web,,,A veces,He hecho alguna contribución alguna vez,"Sí, de vez en cuando",Arequipa Front End,No
Lima,24 - 30 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente,,,Sí,,No,De 1501 a 2500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Symfony (PHP), Spring Boot (Java), Flask (Python), Express (Node.js)",Laravel (PHP),"jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, Vue.js",SASS,WebPack,"MySQL, Microsoft SQL Server, Oracle Database",MongoDB,Linode,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas",Android,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Graduado de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,,,"jQuery, AngularJS, React","jQuery, jQuery UI, AngularJS, React",,,,,,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",,,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Platzi,No
